Gene name	GO term accession
CYP4F34P	
CNN2P12	
SNX18P26	
LINC00328-2P	
ANKRD20A9P	
RNU6-55P	GO:0030621
RNU6-55P	GO:0000244
RNU6-55P	GO:0000353
RNU6-55P	GO:0005688
RNU6-55P	GO:0046540
SPATC1L	GO:0005515
SPATC1L	GO:0042802
SPATC1L	GO:0005813
SPATC1L	GO:0003674
SPATC1L	GO:0008150
SPATC1L	GO:0005575
GOLGA6L1	
APOBEC3B-AS1	
MPHOSPH10P5	
APOBEC3A	
APOBEC3A	GO:0008270
APOBEC3A	GO:0003824
APOBEC3A	GO:0016787
APOBEC3A	GO:0005634
APOBEC3A	GO:0005737
APOBEC3A	GO:0046872
APOBEC3A	GO:0005654
APOBEC3A	GO:0005515
APOBEC3A	GO:0002376
APOBEC3A	GO:0045087
APOBEC3A	GO:0051607
APOBEC3A	GO:0080111
APOBEC3A	GO:0003723
APOBEC3A	GO:0000932
APOBEC3A	GO:0045071
APOBEC3A	GO:0010529
APOBEC3A	GO:0071466
APOBEC3A	GO:0004126
APOBEC3A	GO:0047844
APOBEC3A	GO:0009972
APOBEC3A	GO:0016554
APOBEC3A	GO:0044355
APOBEC3A	GO:0045869
APOBEC3A	GO:0070383
CNTNAP2	
CNTNAP2	GO:0071205
CNTNAP2	GO:0016020
CNTNAP2	GO:0042995
CNTNAP2	GO:0007155
CNTNAP2	GO:0070161
CNTNAP2	GO:0005515
CNTNAP2	GO:0030424
CNTNAP2	GO:0033010
CNTNAP2	GO:0048812
CNTNAP2	GO:0009986
CNTNAP2	GO:0008283
CNTNAP2	GO:0019899
CNTNAP2	GO:0005769
CNTNAP2	GO:0021987
CNTNAP2	GO:0008076
CNTNAP2	GO:0005794
CNTNAP2	GO:0030425
CNTNAP2	GO:0043025
CNTNAP2	GO:0019226
CNTNAP2	GO:0007420
CNTNAP2	GO:0031175
CNTNAP2	GO:0007612
CNTNAP2	GO:0043204
CNTNAP2	GO:0044224
CNTNAP2	GO:0035176
CNTNAP2	GO:0071109
CNTNAP2	GO:0030534
CNTNAP2	GO:0071625
CNTNAP2	GO:0030673
CNTNAP2	GO:0045163
CNTNAP2	GO:0021756
CNTNAP2	GO:0042297
CNTNAP2	GO:0008038
CNTNAP2	GO:0021761
CNTNAP2	GO:0021794
CNTNAP2	GO:1903598
SLC45A2	GO:0016020
SLC45A2	
TUBGCP5	GO:0005737
TUBGCP5	GO:0005856
TUBGCP5	GO:0005829
TUBGCP5	GO:0005874
TUBGCP5	GO:0005815
TUBGCP5	GO:0005813
TUBGCP5	GO:0043015
TUBGCP5	GO:0000226
TUBGCP5	GO:0007020
TUBGCP5	GO:0000922
SMN2	GO:0005634
SMN2	GO:0003723
SMN2	GO:0005737
SMN2	GO:0006397
SMN2	GO:0008380
SMN2	GO:0005829
SMN2	GO:0042995
SMN2	GO:0016604
SMN2	GO:0005515
SMN2	GO:0005654
SMN2	GO:0043005
SMN2	GO:0036464
SMN2	GO:0007399
SMN2	GO:0006353
SMN2	GO:0015030
SMN2	GO:0043204
SMN2	GO:0030424
SMN2	GO:0000387
SMN2	GO:0042802
SMN2	GO:0030018
SMN2	GO:0000245
SMN2	GO:0032797
SMN2	GO:0034719
SMN2	GO:0097504
SMN2	
RXFP3	GO:0007186
RXFP3	GO:0016021
RXFP3	GO:0004930
RXFP3	GO:0005886
RXFP3	GO:0016020
RXFP3	GO:0007165
RXFP3	GO:0007218
RXFP3	GO:0032467
RXFP3	GO:0008528
ADAMTS12	
DLGAP2-AS1	
DLGAP2	GO:0023052
DLGAP2	GO:0007270
ELMO2P1	
